client_location,citizenship_country,percentile,2024-10-01_to_2024-12-31,2025-01-01_to_2025-03-31,2025-04-01_to_2025-06-30,2025-07-01_to_2025-09-30,2025-10-01_to_2025-12-31,unit,population_scope,source_url
In Australia,China Peoples Republic of excl SARs,25,42,0,7,0,19,calendar_days,Student primary visa applications granted,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,China Peoples Republic of excl SARs,50,109,9,79,20,108,calendar_days,Student primary visa applications granted,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
In Australia,China Peoples Republic of excl SARs,75,115,114,113,151,134,calendar_days,Student primary visa applications granted,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,China Peoples Republic of excl SARs,25,0,0,<5,15,<5,calendar_days,Student primary visa applications granted,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,China Peoples Republic of excl SARs,50,0,6,22,28,15,calendar_days,Student primary visa applications granted,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
Outside Australia,China Peoples Republic of excl SARs,75,7,19,33,32,36,calendar_days,Student primary visa applications granted,https://www.homeaffairs.gov.au/research-and-stats/files/student-temporary-grad-program-report-dec-2025.pdf
